app_name	Ntoma
analysis_honesty_note	Esi nye mɔsɔsɔ si ate ŋu anye, menye ɖaseɖiɖi o. Avɔ eve ate ŋu adze abe ɖeka le nɔnɔmeɖeɖe me ene. Ne èka ɖi la, bi wò avɔdzrala.
analysis_engine_on_device	Mɔ̃a dzi dzodzro (kpɔɖeŋu)
analysis_engine_on_device_note	Wò mɔ̃a dzi woexlẽ amadedewo kɔ nutata. Womeɖo naneke ɖa o. Tsɔ cloud ɖoɖo kpe ɖe eŋu le ɖoɖowo me.
analysis_engine_cloud	Cloud dzi dzodzro
analysis_engine_cloud_note	Woɖo wò nɔnɔmeɖeɖe ɖa na dzroɖeƒe la be wòaxlẽe.
analysis_action_view_designs	Kpɔ ɖoɖo siwo sɔ
analysis_action_save_favorite	Dzra avɔ la ɖo
analysis_action_rescan	Ɖe avɔ bubu
print_trait_high_contrast	Ɖeɖe si ƒe amadede vovovowo dze ŋutɔ
print_trait_low_contrast	Ɖeɖe si ƒe amadede vovovowo medze ŋutɔ o
print_trait_large_scale	Nutata gãwo
print_trait_small_repeat	Nutata sue siwo le edzi yim
print_trait_multicolour	Amadede geɖe
print_trait_two_tone	Amadede eve
print_trait_directional	Ɖeɖe si xɔ mɔɖeɖe
print_trait_all_over	Ɖeɖe si le agbadzi la katã
analysis_unnamed	Avɔ ƒe ɖeɖe
analysis_rename_title	Na ŋkɔ avɔ sia
analysis_rename_hint	le kpɔɖeŋu me: Kete tso Bonwire
cd_color_swatch	Amadede ƒe kpɔɖeŋu
color_name_red	Dzĩ
color_name_orange	Ɔrendzi
color_name_gold	Sikawo
color_name_yellow	Kɔkɔdzo
color_name_green	Atama
color_name_teal	Tiil
color_name_blue	Bulu
color_name_indigo	Indigo
color_name_purple	Papul
color_name_pink	Pink
color_name_brown	Anyigba
color_name_black	Vivi
color_name_grey	Grey
color_name_white	Ƒu
color_name_cream	Krim
recs_title	Ɖoɖo siwo wolɔ̃ na wò avɔ
recs_subtitle	Ɖoɖo %1$d sɔ kɔ avɔ sia
recs_filter_women	Nyɔnuwo
recs_filter_men	Ŋutsuwo
recs_filter_unisex	Nyɔnu kɔ ŋutsu
recs_filter_casual	Bɔbɔe
recs_filter_formal	Kɔkɔe
recs_filter_traditional	Kɔnyinyi
recs_filter_wedding	Srɔ̃ɖeɖe
recs_filter_church	Sɔleme
recs_filter_office	Dɔwɔƒe
recs_filter_party	Kplɔ̃
recs_filter_everyday	Gbesiagbe
recs_filters_label	Tiatia
recs_clear_filters	Ɖe tiatia ɖa
recs_empty_title	Ɖoɖo aɖeke mesɔ kɔ tiatia mawo o
recs_empty_body	Ɖe tiatia ɖeka ɖa alo trɔ le nyɔnuwo kɔ ŋutsuwo ƒe awuɖoɖowo dome.
recs_try_on	Do kpɔ
recs_view_design	Kpɔ ɖoɖo la
recs_match_score	Ɛsɔ %1$d%%
recs_why_title	Nu si tae wòsɔ kɔ wò avɔ
recs_favorite_added	Wotsɔ kpe ɖe lɔlɔ̃nuwo ŋu
recs_favorite_removed	Woɖee ɖa le lɔlɔ̃nuwo me
recs_for_fabric	Na %1$s
why_pattern_structured	Nutata sesẽwo tsia wo ɖokui nyuie le ɖoɖo sia me.
why_pattern_flowing	Nutata si ƒe zɔzɔ dze edzi la dze awuɖoɖo sia ƒe zɔzɔ yome.
why_scale_large	Nutata gãwo hiã akpa gãwo, eye ɖoɖo sia na mɔnukpɔkpɔ ma wo.
why_scale_small	Nutata sue siwo le edzi yim la dze nyuie le awu si woɖe ɖe ŋutilã nu la me.
why_texture_heavy	Avɔ sesẽ si wolɔ̃ nyuie la sɔna awuɖoɖo sia.
why_texture_light	Avɔ ƒe zɔzɔ le bɔbɔe la nya kpɔna le ɖoɖo sia me.
why_colors_rich	Amadede sesẽwo tsɔa ŋkekenyui si woɖo ɖoɖo sia ɖi la vɛ.
why_colors_muted	Amadede fafawo na ɖoɖo sia nɔna bɔbɔe na gbesiagbe.
why_occasion	Tiatia nyui na %1$s.
why_tradition	Ghana ƒe awu xoxo ƒe ɖoɖo yeye.
why_gender	Woɖee na %1$s.
tryon_title	Do kpɔ
tryon_step_person	Ame kae le ewom?
tryon_step_photo	Tsɔ nɔnɔmeɖeɖe kpe ɖe eŋu
tryon_step_design	Tia ɖoɖo
tryon_step_apply	Zã avɔ la
tryon_gender_woman	Nyɔnu
tryon_gender_man	Ŋutsu
tryon_gender_auto	Ɖokuiwò
tryon_photo_camera	Ɖe nɔnɔmeɖeɖe
tryon_photo_gallery	Tia nɔnɔmeɖeɖe
tryon_photo_guidance_title	Nu si nana kpɔɖeŋu nyuitɔ
tryon_photo_guidance	Zã ŋutilã blibo alo ɖe dzi nɔnɔmeɖeɖe si me kɛkɛ le. Tso ɖe ɖeka nàƒo asa na nu geɖe le megbe.
tryon_photo_replace	Trɔ nɔnɔmeɖeɖe
tryon_design_current	Ɖoɖo si le eme
tryon_design_change	Trɔ ɖoɖo
tryon_fabric_current	Avɔ
tryon_fabric_change	Trɔ avɔ
tryon_start	Zã avɔ la
tryon_state_idle	Emɔŋ wò
tryon_state_uploading	Emɔŋ le wò nɔnɔmeɖeɖe ɖom ɖa…
tryon_state_processing	Emɔŋ le wò avɔ dzram ɖo…
tryon_state_generating	Emɔŋ le wò nɔnɔmeɖeɖe wɔm…
tryon_state_finishing	Ɖoɖo ƒe nuwuwu…
tryon_state_success	Wò nɔnɔmeɖeɖe le klalo
tryon_state_error	Míete ŋu wɔ nɔnɔmeɖeɖe ma o
tryon_quota_note	%1$d le %2$d dodokpɔ femaxewo me susɔ le ɣleti sia me
tryon_quota_exhausted	Èzã ɣleti sia ƒe dodokpɔ femaxewo vɔ.
tryon_rewarded_offer	Kpɔ adzɔnu kpuie aɖe nàkpɔ dodokpɔ 1 bubu
tryon_rewarded_granted	Nyoe — dodokpɔ 1 kpe ɖe eŋu.
tryon_needs_connection	Dodokpɔ hiã internet
tryon_demo_notice	Kpɔɖeŋu nɔnɔmeɖeɖe
tryon_demo_notice_body	Wò mɔ̃a dzi wowɔ kpɔɖeŋu sia tso amadede kɔ nutata si wokpɔ me. Eɖea amadede kɔ didime fia, menye dodokpɔ ŋutɔŋutɔ o. Tsɔ generation backend kpe ɖe eŋu na kpɔɖeŋu ŋutɔŋutɔ.
tooltip_tryon	Zã nɔnɔmeɖeɖe nyui nàkpɔ kpɔɖeŋu nyui.
result_title	Wò nɔnɔmeɖeɖe
result_ai_disclaimer	AI ƒe nɔnɔmeɖeɖe
result_demo_disclaimer	Kpɔɖeŋu — amadede kɔ didime ko
result_summary	%1$s le %2$s me
result_action_save	Dzraɖo
result_action_favorite	Lɔlɔ̃nu
result_action_share	Ma
result_action_another_design	Do ɖoɖo bubu kpɔ
result_action_change_fabric	Trɔ avɔ
result_action_another_person	Do kpɔ ame bubu dzi
result_action_start_over	Gadze egɔme ake
result_saved_to_gallery	Wodzrae ɖe wò mɔ̃a dzi
result_zoom_hint	Zã asibidɛ eve ne nàdo
discover_title	Di
discover_tab_styles	Ɖoɖowo
discover_tab_fabrics	Avɔwo
discover_tab_looks	Nɔnɔmeɖeɖewo
discover_search_hint	Di ɖoɖowo, avɔwo alo nɔnɔmeɖeɖewo
discover_section_trending	Ɖoɖo siwo dze ŋgɔ
discover_section_fabric_library	Avɔwo ƒe ɖoɖoƒe
discover_section_editorial	Ɖoɖo tiatiawo
discover_empty_search	Nutometsonu aɖeke meli na “%1$s” o
discover_empty_search_body	Kpɔ ŋɔŋlɔɖi la alo tsɔ nya kpuie aɖe gadze agbagba.
discover_offline_note	Ɖoɖo siwo le mɔ̃ sia dzi lae míele fiafia.
design_detail_title	Ɖoɖo
design_detail_about	Ɖoɖo sia ŋuti
design_detail_occasions	Ɛnyo na
design_detail_fabrics	Ɛwɔ ɖeka kɔ
design_detail_tryon	Do kpɔ nɔnɔmeɖeɖe dzi
design_detail_pick_fabric	Tia avɔ
